maple_atomic/Rewards Mean,maple_atomic/Rewards Std,eval/Rewards Mean,eval/Rewards Std,eval/Rewards Mean,eval/Rewards Std,eval/Rewards Mean,eval/Rewards Std,eval/Rewards Mean,eval/Rewards Std
0.744489462,0.488254532,0.015527613,0.006425758,0.01067749,0.007902519,0.015571022,0.006091361,0.007792225,0.008508567
0.744489462,0.488254532,0.015527613,0.006425758,0.01067749,0.007902519,0.015571022,0.006091361,0.007792225,0.008508567
0.744489462,0.488254532,0.015527613,0.006425758,0.01067749,0.007902519,0.015571022,0.006091361,0.007792225,0.008508567
0.744489462,0.488254532,0.015527613,0.006425758,0.01067749,0.007902519,0.015571022,0.006091361,0.007792225,0.008508567
0.744489462,0.488254532,0.015527613,0.006425758,0.01067749,0.007902519,0.015571022,0.006091361,0.007792225,0.008508567
0.744489462,0.488254532,0.015527613,0.006425758,0.01067749,0.007902519,0.015571022,0.006091361,0.007792225,0.008508567
0.744489462,0.488254532,0.015527613,0.006425758,0.01067749,0.007902519,0.015571022,0.006091361,0.007792225,0.008508567
0.744489462,0.488254532,0.015527613,0.006425758,0.01067749,0.007902519,0.015571022,0.006091361,0.007792225,0.008508567
0.744489462,0.488254532,0.015527613,0.006425758,0.01067749,0.007902519,0.015571022,0.006091361,0.007792225,0.008508567
0.744489462,0.488254532,0.015527613,0.006425758,0.01067749,0.007902519,0.015571022,0.006091361,0.007792225,0.008508567
0.702959351,0.472928376,0.014959545,0.005697523,0.020241684,0.014959647,0.014385346,0.007311069,0.010984755,0.009513021
0.702959351,0.472928376,0.014959545,0.005697523,0.020241684,0.014959647,0.014385346,0.007311069,0.010984755,0.009513021
0.702959351,0.472928376,0.014959545,0.005697523,0.020241684,0.014959647,0.014385346,0.007311069,0.010984755,0.009513021
0.702959351,0.472928376,0.014959545,0.005697523,0.020241684,0.014959647,0.014385346,0.007311069,0.010984755,0.009513021
0.702959351,0.472928376,0.014959545,0.005697523,0.020241684,0.014959647,0.014385346,0.007311069,0.010984755,0.009513021
0.702959351,0.472928376,0.014959545,0.005697523,0.020241684,0.014959647,0.014385346,0.007311069,0.010984755,0.009513021
0.702959351,0.472928376,0.014959545,0.005697523,0.020241684,0.014959647,0.014385346,0.007311069,0.010984755,0.009513021
0.702959351,0.472928376,0.014959545,0.005697523,0.020241684,0.014959647,0.014385346,0.007311069,0.010984755,0.009513021
0.702959351,0.472928376,0.014959545,0.005697523,0.020241684,0.014959647,0.014385346,0.007311069,0.010984755,0.009513021
0.702959351,0.472928376,0.014959545,0.005697523,0.020241684,0.014959647,0.014385346,0.007311069,0.010984755,0.009513021
0.489610304,0.296747727,0.014010467,0.007453682,0.02581533,0.02602123,0.015270844,0.007689625,0.009615498,0.008448348
0.489610304,0.296747727,0.014010467,0.007453682,0.02581533,0.02602123,0.015270844,0.007689625,0.009615498,0.008448348
0.489610304,0.296747727,0.014010467,0.007453682,0.02581533,0.02602123,0.015270844,0.007689625,0.009615498,0.008448348
0.489610304,0.296747727,0.014010467,0.007453682,0.02581533,0.02602123,0.015270844,0.007689625,0.009615498,0.008448348
0.489610304,0.296747727,0.014010467,0.007453682,0.02581533,0.02602123,0.015270844,0.007689625,0.009615498,0.008448348
0.489610304,0.296747727,0.014010467,0.007453682,0.02581533,0.02602123,0.015270844,0.007689625,0.009615498,0.008448348
0.489610304,0.296747727,0.014010467,0.007453682,0.02581533,0.02602123,0.015270844,0.007689625,0.009615498,0.008448348
0.489610304,0.296747727,0.014010467,0.007453682,0.02581533,0.02602123,0.015270844,0.007689625,0.009615498,0.008448348
0.489610304,0.296747727,0.014010467,0.007453682,0.02581533,0.02602123,0.015270844,0.007689625,0.009615498,0.008448348
0.489610304,0.296747727,0.014010467,0.007453682,0.02581533,0.02602123,0.015270844,0.007689625,0.009615498,0.008448348
0.641437578,0.893415963,0.02384857,0.027979361,0.089905628,0.132412579,0.054569027,0.07557519,0.01122309,0.007851017
0.641437578,0.893415963,0.02384857,0.027979361,0.089905628,0.132412579,0.054569027,0.07557519,0.01122309,0.007851017
0.641437578,0.893415963,0.02384857,0.027979361,0.089905628,0.132412579,0.054569027,0.07557519,0.01122309,0.007851017
0.641437578,0.893415963,0.02384857,0.027979361,0.089905628,0.132412579,0.054569027,0.07557519,0.01122309,0.007851017
0.641437578,0.893415963,0.02384857,0.027979361,0.089905628,0.132412579,0.054569027,0.07557519,0.01122309,0.007851017
0.641437578,0.893415963,0.02384857,0.027979361,0.089905628,0.132412579,0.054569027,0.07557519,0.01122309,0.007851017
0.641437578,0.893415963,0.02384857,0.027979361,0.089905628,0.132412579,0.054569027,0.07557519,0.01122309,0.007851017
