maple_atomic/Rewards Mean,maple_atomic/Rewards Std,maple_ltl_progression_reward_atomic/Rewards Mean,maple_ltl_progression_reward_atomic/Rewards Std,eval/Rewards Mean,eval/Rewards Std,eval/Rewards Mean,eval/Rewards Std,eval/Rewards Mean,eval/Rewards Std
0.626826612,0.361512613,0.592804708,0.37372867,2.203535828,1.243614391,2.241377181,1.320446612,0.824792302,1.040988784
0.626826612,0.361512613,0.592804708,0.37372867,2.203535828,1.243614391,2.241377181,1.320446612,0.824792302,1.040988784
0.626826612,0.361512613,0.592804708,0.37372867,2.203535828,1.243614391,2.241377181,1.320446612,0.824792302,1.040988784
0.626826612,0.361512613,0.592804708,0.37372867,2.203535828,1.243614391,2.241377181,1.320446612,0.824792302,1.040988784
0.626826612,0.361512613,0.592804708,0.37372867,2.203535828,1.243614391,2.241377181,1.320446612,0.824792302,1.040988784
0.626826612,0.361512613,0.592804708,0.37372867,2.203535828,1.243614391,2.241377181,1.320446612,0.824792302,1.040988784
0.626826612,0.361512613,0.592804708,0.37372867,2.203535828,1.243614391,2.241377181,1.320446612,0.824792302,1.040988784
0.626826612,0.361512613,0.592804708,0.37372867,2.203535828,1.243614391,2.241377181,1.320446612,0.824792302,1.040988784
0.626826612,0.361512613,0.592804708,0.37372867,2.203535828,1.243614391,2.241377181,1.320446612,0.824792302,1.040988784
0.626826612,0.361512613,0.592804708,0.37372867,2.203535828,1.243614391,2.241377181,1.320446612,0.824792302,1.040988784
0.744489462,0.488254532,0.632889242,0.374771339,2.198840202,1.171063464,2.240780573,1.172787193,1.049067159,1.100401499
0.744489462,0.488254532,0.632889242,0.374771339,2.198840202,1.171063464,2.240780573,1.172787193,1.049067159,1.100401499
0.744489462,0.488254532,0.632889242,0.374771339,2.198840202,1.171063464,2.240780573,1.172787193,1.049067159,1.100401499
0.744489462,0.488254532,0.632889242,0.374771339,2.198840202,1.171063464,2.240780573,1.172787193,1.049067159,1.100401499
0.744489462,0.488254532,0.632889242,0.374771339,2.198840202,1.171063464,2.240780573,1.172787193,1.049067159,1.100401499
0.744489462,0.488254532,0.632889242,0.374771339,2.198840202,1.171063464,2.240780573,1.172787193,1.049067159,1.100401499
0.744489462,0.488254532,0.632889242,0.374771339,2.198840202,1.171063464,2.240780573,1.172787193,1.049067159,1.100401499
0.744489462,0.488254532,0.632889242,0.374771339,2.198840202,1.171063464,2.240780573,1.172787193,1.049067159,1.100401499
0.744489462,0.488254532,0.632889242,0.374771339,2.198840202,1.171063464,2.240780573,1.172787193,1.049067159,1.100401499
0.744489462,0.488254532,0.632889242,0.374771339,2.198840202,1.171063464,2.240780573,1.172787193,1.049067159,1.100401499
0.702959351,0.472928376,0.701553314,0.32047199,2.868730473,1.080329286,2.562462698,1.420087601,2.512171988,0.867943838
0.702959351,0.472928376,0.701553314,0.32047199,2.868730473,1.080329286,2.562462698,1.420087601,2.512171988,0.867943838
0.702959351,0.472928376,0.701553314,0.32047199,2.868730473,1.080329286,2.562462698,1.420087601,2.512171988,0.867943838
0.702959351,0.472928376,0.701553314,0.32047199,2.868730473,1.080329286,2.562462698,1.420087601,2.512171988,0.867943838
0.702959351,0.472928376,0.701553314,0.32047199,2.868730473,1.080329286,2.562462698,1.420087601,2.512171988,0.867943838
0.702959351,0.472928376,0.701553314,0.32047199,2.868730473,1.080329286,2.562462698,1.420087601,2.512171988,0.867943838
0.702959351,0.472928376,0.701553314,0.32047199,2.868730473,1.080329286,2.562462698,1.420087601,2.512171988,0.867943838
0.702959351,0.472928376,0.701553314,0.32047199,2.868730473,1.080329286,2.562462698,1.420087601,2.512171988,0.867943838
0.702959351,0.472928376,0.701553314,0.32047199,2.868730473,1.080329286,2.562462698,1.420087601,2.512171988,0.867943838
0.702959351,0.472928376,0.701553314,0.32047199,2.868730473,1.080329286,2.562462698,1.420087601,2.512171988,0.867943838
0.489610304,0.296747727,0.677677635,0.449328014,2.7119141,1.126315156,2.596104942,1.346189599,3.45525931,0.77806068
0.489610304,0.296747727,0.677677635,0.449328014,2.7119141,1.126315156,2.596104942,1.346189599,3.45525931,0.77806068
0.489610304,0.296747727,0.677677635,0.449328014,2.7119141,1.126315156,2.596104942,1.346189599,3.45525931,0.77806068
0.489610304,0.296747727,0.677677635,0.449328014,2.7119141,1.126315156,2.596104942,1.346189599,3.45525931,0.77806068
0.489610304,0.296747727,0.677677635,0.449328014,2.7119141,1.126315156,2.596104942,1.346189599,3.45525931,0.77806068
0.489610304,0.296747727,0.677677635,0.449328014,2.7119141,1.126315156,2.596104942,1.346189599,3.45525931,0.77806068
0.489610304,0.296747727,0.677677635,0.449328014,2.7119141,1.126315156,2.596104942,1.346189599,3.45525931,0.77806068
0.489610304,0.296747727,0.677677635,0.449328014,2.7119141,1.126315156,2.596104942,1.346189599,3.45525931,0.77806068
0.489610304,0.296747727,0.677677635,0.449328014,2.7119141,1.126315156,2.596104942,1.346189599,3.45525931,0.77806068
0.489610304,0.296747727,0.677677635,0.449328014,2.7119141,1.126315156,2.596104942,1.346189599,3.45525931,0.77806068
0.641437578,0.893415963,0.65264273,0.442830887,3.204174862,1.008726339,3.068448514,1.185960088,2.566423845,1.060097263
0.641437578,0.893415963,0.65264273,0.442830887,3.204174862,1.008726339,3.068448514,1.185960088,2.566423845,1.060097263
0.641437578,0.893415963,0.65264273,0.442830887,3.204174862,1.008726339,3.068448514,1.185960088,2.566423845,1.060097263
